key,affiliation,uni?
homepages/36/3234-2,"University of Tübingen, Wilhelm Schickard Institute for Computer Science, Germany",True
homepages/36/3007,"Technical University Munich, Germany",True
homepages/31/6511,"University of Bielefeld, Germany",True
homepages/31/246,"University of Freiburg, Germany",True
homepages/31/4557,"Dresden University of Technology, Germany",True
homepages/31/3992,"Bielefeld University, Germany",True
homepages/31/6403,"University of Stuttgart, Germany",True
homepages/31/7398,"University of Potsdam, Germany",True
homepages/31/4699,"Karlsruhe Institute of Technology, Germany",True
homepages/31/8001,"University of Bremen, Bremen, Germany",True
homepages/31/8627,"University of Hannover, Germany",True
homepages/31/1904,"Universität Bremen, Germany",True
homepages/31/6036,"TU München, Department of Informatics, Germany",True
homepages/31/6036,"University of Ulm, Germany",True
homepages/31/8296,"University of Trier, Germany",True
homepages/31/1363-1,"Technische Universität Darmstadt, Germany",True
homepages/147/4585,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/127/1469,"Beuth University of Applied Sciences Berlin, Germany",True
homepages/127/0410,"Technische Universität München, Germany",True
homepages/127/0435,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/127/0435,"TU Berlin, Germany",True
homepages/c/HCruse,"Bielefeld University, Germany",True
homepages/c/GeorgCarle,"Technical University Munich, Germany",True
homepages/c/StefaniaCostache,"L3S Research Center, Hanover, Germany",True
homepages/c/MatthewWCrocker,"Saarland University, Saarbrücken, Germany",True
homepages/c/DanielCremers,"Technical University Munich, Germany",True
homepages/c/SergeyChernov,"L3S Research Center, Hanover, Germany",True
homepages/c/PAChirita,"L3S Research Center, Hanover, Germany",True
homepages/c/LingChen2,"University of Hannover, L3S Research Center, Germany",True
homepages/c/ABCremers,"University of Bonn, Germany",True
homepages/c/ArnaudCarayol,"RWTH Aachen University, Germany",True
homepages/140/7421,"University of Würzburg, Data Mining and Information Retrieval Group, Germany",True
homepages/140/9987,"University of Ulm, Institute of Theoretical Computer Science, Germany",True
homepages/140/7089,"Technical University Munich, Germany",True
homepages/140/3540,"University of Stuttgart, IMS, Germany",True
homepages/148/8804,"Ruhr University Bochum, Germany",True
homepages/148/4508,"University of Mannheim, Germany",True
homepages/148/1111,"University of Hanover, Germany",True
homepages/148/4495,"Saarland University, Department of Computational Linguistics, Saarbrücken, Germany",True
homepages/91/1504-3,"University of Freiburg, Germany",True
homepages/91/2537,"Technical University Munich, Germany",True
homepages/91/2373,"Chemnitz University of Technology, Germany",True
homepages/91/7572,"University of Koblenz-Landau, Germany",True
homepages/91/5623,"University of Bielefeld, Germany",True
homepages/91/1504-4,"University of Ulm, Germany",True
homepages/91/10318,"Technical University of Munich, Germany",True
homepages/91/9957,"RWTH Aachen University, Germany",True
homepages/91/3020-3,"Karlsruhe Institute of Technology, Institute of Applied Computer Science, Germany",True
homepages/91/3020-1,"Freiburg University Hospital, Department of Medical Informatics, Germany",True
homepages/91/3020-1,"Freiburg University, Computational Linguistics Lab, Germany",True
homepages/91/3020-1,"Heidelberg University, Germany",True
homepages/91/5826,"University of Mannheim, Germany",True
homepages/91/3020-5,"Hamburg University of Technology, Workgroup on System Technologies and Engineering Design Methodology, Germany",True
homepages/176/8810,"Technical University Munich, Germany",True
homepages/176/5171,"Darmstadt University of Technology, Germany",True
homepages/176/4279-1,"University of Konstanz, Germany",True
homepages/89/4770,"University of Koblenz and Landau, Germany",True
homepages/89/3492,"Universität Stuttgart, Germany",True
homepages/89/11002-1,"Humboldt University of Berlin, Department of Computer Science, Germany",True
homepages/89/5572,"Ludwig Maximilian University of Munich, Germany",True
homepages/89/7921-1,"University of Siegen, Germany",True
homepages/89/6985,"Technical University Munich, Germany",True
homepages/89/8924,"Heidelberg University, Germany",True
homepages/89/3872-1,"Duale Hochschule Baden-Württemberg, Germany",True
homepages/89/3872-1,"Technical University of Munich, Germany",True
homepages/89/4402-23,"Darmstadt University of Technology, Ubiquitous Knowledge Processing Lab, Germany",True
homepages/89/9924-1,"Saarland University, Saarbrücken, Germany",True
homepages/89/2346-1,"TU Munich, Faculty of Computer Science, Germany",True
homepages/89/5383,"University of Freiburg, Germany",True
homepages/89/5002,"University of Hagen, Germany",True
homepages/89/4363,"Ruhr University Bochum, Germany",True
homepages/89/8772,"University of Passau, Passau, Germany",True
homepages/89/1236,"Dresden University of Technology, Germany",True
homepages/129/9499,"KIT, Germany",True
homepages/129/9499,"University of Freiburg, Germany",True
homepages/129/1979,"University of Stuttgart, Institute for Visualization and Interactive Systems, Germany",True
homepages/129/1979,"Stuttgart Media University, Germany",True
homepages/129/4931,"Humboldt University of Berlin, Institute of Operations Research, Germany",True
homepages/129/7361,"University of Leipzig, Germany",True
homepages/129/2286,"University of Hamburg, Department of Informatics, Germany",True
homepages/129/2840,"Technical University Munich, Germany",True
homepages/162/7247,"Heinrich-Heine-Universität Düsseldorf, Germany",True
homepages/162/9925,"Saarland University, Saarbrücken, Germany",True
homepages/95/3517,"University of Bayreuth, Germany",True
homepages/95/6511,"Technical University of Munich, Germany",True
homepages/95/5664,"TU München, Department of Mathematics, Munich, Germany",True
homepages/95/9078,"Technical University of Munich, Germany",True
homepages/95/10139,"University of Potsdam, Institute of Computer Science, Germany",True
homepages/95/10139,"Humboldt University of Berlin, Department of Informatics, Germany",True
homepages/95/10139,"TU Clausthal, Department of Informatics, Germany",True
homepages/95/6985-3,"Humboldt University of Berlin, Germany",True
homepages/95/6985-3,"Goethe University Frankfurt, Frankfurt am Main, Germany",True
homepages/95/9320,"Karlsruhe Institute of Technology, IPD, Germany",True
homepages/95/9320,"Otto von Guericke University of Magdeburg, School of Computer Science, Germany",True
homepages/95/2668,"University of Göttingen, Felix-Bernstein-Institute for Mathematical Statistics in the Biosciences, Germany",True
homepages/95/3616-4,"RWTH Aachen University, Germany",True
homepages/72/1969-1,"University of Bonn, Institute of Computer Science, Germany",True
homepages/72/1969-1,"University of Chicago, Computer Science Department and Computation Institute, Germany",True
homepages/72/2586,"University of Potsdam, Department of Psychology, Germany",True
homepages/72/4250-35,"Free University of Berlin, Department of Mathematics and Computer Science, Berlin, Germany",True
homepages/72/2168-2,"Bielefeld University, Germany",True
homepages/72/5384,"University of Rostock, Germany",True
homepages/72/2546,"University of Kaiserslautern, Germany",True
homepages/72/2590-8,"TU Dortmund University, Robotics Research Institute, Germany",True
homepages/72/6210-1,"University of Mainz, Germany",True
homepages/72/3113,"Braunschweig University of Technology, Germany",True
homepages/72/1712,"University of Hamburg, Germany",True
homepages/02/2315-2,"Ludwig Maximilians University Munich, Germany",True
homepages/02/10648-1,"University of Passau, Faculty of Computer Science and Mathematics, Germany",True
homepages/02/10648-1,"TU Munich, Institute for Human-Machine Communication, Germany",True
homepages/02/3333,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany",True
homepages/02/5386,"University of Konstanz, Germany",True
homepages/02/10225,"University of Bremen, Germany",True
homepages/02/5442,"University of Trier, Germany",True
homepages/02/4742,"TU Kaiserslautern, Department of Computer Science, Germany",True
homepages/02/4742,"RWTH Aachen University, Germany",True
homepages/02/4953,"Friedrich-Alexander-Universität Erlangen-Nürnberg, Germany",True
homepages/02/4953,"University of Passau, Germany",True
homepages/02/7141,"University of Stuttgart, Germany",True
homepages/02/6643,"Universität Mannheim, Germany",True
homepages/02/4248-1,"University of Ulm, Institute of Media Informatics, Germany",True
homepages/l/MartinLeucker,"University of Lübeck, Germany",True
homepages/l/GeorgLausen,"University of Freiburg, Germany",True
homepages/l/UlfLeser,"Humboldt University of Berlin, Germany",True
homepages/l/JurgenLerner,"University of Konstanz, Germany",True
homepages/l/XiangLi2,"RWTH Aachen, Germany",True
homepages/l/WLamersdorf,"University of Hamburg, Germany",True
homepages/l/CLengauer,"University of Passau, Germany",True
homepages/l/ThomasMartinLehmann,"RWTH Aachen University Hospital, Department of Medical Informatics, Germany",True
homepages/l/CarstenLutz,"University of Bremen, Germany",True
homepages/l/PaulLukowicz,"University of Kaiserslautern, Germany",True
homepages/l/PaulLukowicz,"University of Passau, Germany",True
homepages/l/SLKappel,"University of Bonn, Germany",True
homepages/l/TimLuth,"Technical University Munich, Department of Mechanical Engineering, Germany",True
homepages/l/RainerLienhart,"University of Augsburg, Germany",True
homepages/l/GerhardLakemeyer,"RWTH Aachen University, Germany",True
homepages/l/PCLockemann,"Karlsruhe Institute of Technology, Germany",True
homepages/l/WLehner,"Dresden University of Technology, Germany",True
homepages/l/FrankLeymann,"University of Stuttgart, Germany",True
homepages/l/ClaudiaLinnhoffPopien,"Ludwig Maximilian University of Munich, Germany",True
homepages/l/UdoWLipeck,"University of Hanover, Germany",True
homepages/l/PBLadkin,"Bielefeld University, Germany",True
homepages/l/MLeuschel,"University of Düsseldorf, Germany",True
homepages/l/PhilippLucas,"Saarland University, Saarbrücken, Germany",True
homepages/l/JLucke,"University of Oldenburg, Germany",True
homepages/l/CLuth,"University of Bremen, Germany",True
homepages/l/ChristophLindemann,"Technical University of Dortmund, Germany",True
homepages/136/9559,"Karlsruhe Institute of Technology, Germany",True
homepages/143/3168,"TU Munich, Department of Informatics, Germany",True
homepages/143/9985,"Darmstadt University of Technology, Germany",True
homepages/156/7303,"Technische Universität Dortmund, Germany",True
homepages/139/3470,"Bielefeld University, Research Institute for Cognition and Robotics (CoR-Lab), Germany",True
homepages/139/0873,"Saarland University, Saarbrücken, Germany",True
homepages/139/1608-1,"Saarland University Hospital, Clinical Bioinformatics, Saarbrücken, Germany",True
homepages/139/2405,"University of Oldenburg, Germany",True
homepages/248/6272,"University of Stuttgart, Germany",True
homepages/29/2002,"Karlsruhe Institute of Technology, Germany",True
homepages/29/7143,"University of Stuttgart, Germany",True
homepages/29/3081-3,"FernUniversität Hagen, Faculty of Mathematics and Computer Science, Germany",True
homepages/29/5897,"TU Dortmund University, Institute of Energy Systems, Germany",True
homepages/29/612-1,"Friedrich Alexander University of Erlangen-Nuremberg, Pattern Recognition Lab, Germany",True
homepages/29/4867-10,"University of Hamburg, Chair of Marketing and Innovation, Germany",True
homepages/29/414,"TU Dresden, Germany",True
homepages/29/211,"University of Freiburg, Germany",True
homepages/29/7919,"Jacobs University, Bremen, Germany",True
homepages/29/7117-2,"TU Dortmund, Germany",True
homepages/29/3402,"University of Stuttgart, Institute of Architecture of Application Systems (IAAS), Germany",True
homepages/43/5567-1,"Bielefeld University, CITEC Centre of Excellence, Germany",True
homepages/43/5151-2,"Technical University Munich, Germany",True
homepages/43/6309-3,"University of Hanover, Germany",True
homepages/43/508-5,"RWTH Aachen University, Research Institute for Water and Waste Management, Germany",True
homepages/43/6753,"University of Erlangen-Nuremberg, Germany",True
homepages/43/2311,"Hochschule für Technik Stuttgart, Germany",True
homepages/43/3220-1,"University of Stuttgart, Germany",True
homepages/43/796,"University of Bremen, Germany",True
homepages/43/5520,"University of Passau, Germany",True
homepages/43/8750,"Jacobs University Bremen, School of Humanities and Social Sciences, Germany",True
homepages/43/3011,"Technical University of Munich, Germany",True
homepages/43/2928,"RWTH Aachen University, Germany",True
homepages/161/7891,"Technical University of Munich, Germany",True
homepages/63/3836,"Karlsruhe University of Applied Sciences, Germany",True
homepages/63/2723,"Saarland University, Saarbrücken, Germany",True
homepages/63/4934-3,"University of Freiburg, Germany",True
homepages/63/6566-1,"Saarland University, Saarbrücken, Germany",True
homepages/63/8705,"Karlsruhe Institute of Technology, Germany",True
homepages/63/3836-2,"University of Hanover, Germany",True
homepages/63/6427-1,"Siemens AG, Munich, Germany",True
homepages/63/1110,"Hochschule Heilbronn, Germany",True
homepages/63/765-1,"Heidelberg University, Department of Computational Linguistics, Germany",True
homepages/63/8171-1,"LMU Munich, Center for Information and Language Processing, Germany",True
homepages/63/8171-1,"Saarland University, Saarbrücken, Germany",True
homepages/63/3646,"University of Lübeck, Germany",True
homepages/54/503-4,"Saarland University, Saarbrücken, Germany",True
homepages/54/7546,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/54/6742-1,"Technical University of Munich, Germany",True
homepages/54/4934,"University of Augsburg, Department of Computer Science, Germany",True
homepages/54/4934,"University of Passau, Faculty of Computer Science and Mathematics, Germany",True
homepages/54/2802-1,"DoCoMo Communications Laboratories Europe, Munich, Germany",True
homepages/54/3155,"Free University of Berlin, Germany",True
homepages/54/2062-2,"University of Potsdam, Hasso Plattner Institute, Germany",True
homepages/54/1474-1,"TU Berlin, Institute of Software Engineering and Theoretical Computer Science, Germany",True
homepages/54/5170-1,"Bielefeld University, CITEC, Germany",True
homepages/117/4344,"University of Duisburg-Essen, Duisburg, Germany",True
homepages/117/4631,"University Duisburg-Essen, Germany",True
homepages/117/7310-1,"Ludwig Maximilian University, Munich, Germany",True
homepages/117/5897,"University of Hanover, Hannover, Germany",True
homepages/117/4925,"Karlsruhe Institute of Technology, Institute of Theoretical Informatics, Germany",True
homepages/117/4348,"Leibniz University of Hannover, Germany",True
homepages/42/8510,"TU Berlin, Germany",True
homepages/42/4154,"University of Lübeck, Germany",True
homepages/42/4404,"Karlsruhe Institute of Technology, Germany",True
homepages/42/6655,"TU Ilmenau, Institute for Theoretical Computer Science, Germany",True
homepages/42/6,"University of Bremen, Center for Computing Technologies, Germany",True
homepages/42/7313,"University of Würzburg, Germany",True
homepages/42/5141,"Ludwig Maximilian University of Munich, Germany",True
homepages/42/2559-1,"RWTH Aaachen, Germany",True
homepages/42/5049,"University of Tübingen, Germany",True
homepages/42/8156,"University of Ulm, Germany",True
homepages/42/1160-1,"Saarland University, Department of Computer Science, Saarbrücken, Germany",True
homepages/42/8684,"University of Freiburg, Germany",True
homepages/42/998,"Dresden University of Technology, Germany",True
homepages/42/3847,"University Konstanz, Germany",True
homepages/123/6696,"Karlsruhe Institute of Technology, Germany",True
homepages/118/1267,"Darmstadt University of Technology, Germany",True
homepages/118/3466,"University of Mannheim, Germany",True
homepages/118/3833,"Technical University Munich, Germany",True
homepages/118/6453,"Saarland University, Saarbrücken, Germany",True
homepages/118/2636,"Saarland University, Saarland Informatics Campus, Saarbrücken, Germany",True
homepages/167/3748,"Karlsruher Institut für Technologie, Germany",True
homepages/167/6688-2,"University of Ulm, Institute of Media Informatics, Germany",True
homepages/96/4942,"TU Ilmenau, Department of Computer Science, Germany",True
homepages/96/10452,"TU Berlin, Institute of Software Engineering and Theoretical Computer Science, Germany",True
homepages/96/5046-1,"Technical University of Munich, Institute for Computer Science, Germany",True
homepages/96/2423,"Universität der Bundeswehr München, Neubiberg, Germany",True
homepages/96/5115,"Technical University Munich, Germany",True
homepages/96/4389-1,"University of Leipzig, Department of Computer Science, Germany",True
homepages/96/4682-1,"Karlsruhe Institute of Technology, Germany",True
homepages/96/5029,"University of Stuttgart, IPVS, Germany",True
homepages/06/5387,"University of Mannheim, Germany",True
homepages/06/4734-1,"TU Dortmund University, Germany",True
homepages/06/2592-3,"University of Freiburg, Computer Science Department, Germany",True
homepages/06/6243,"Saarland University, Saarbrücken, Germany",True
homepages/06/1082,"University of Tübingen, Germany",True
homepages/06/1082,"University of Hamburg, Germany",True
homepages/06/3501,"University of Erlangen-Nuremberg, Germany",True
homepages/06/2357,"University of Hagen, Germany",True
homepages/06/1043,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/06/6785-16,"Saarland University, Saarland Informatics Campus, Saarbrücken, Germany",True
homepages/06/2293-37,"Technical University of Munich, Department of Informatics, Garching, Germany",True
homepages/06/5632-1,"Saarland University, Germany",True
homepages/06/5685,"University of Lübeck, Germany",True
homepages/i/SayyedKamyarIzadi,"Kaiserslautern University of Technology, Germany",True
homepages/155/1900,"Saarland University, Saarbrücken, Germany",True
homepages/155/7900,"Bielefeld University, Germany",True
homepages/158/2526,"Göttingen University, Faculty of Biology and Psychology, Germany",True
homepages/201/7873,"Technische Universität Dresden, Germany",True
homepages/194/3180,"University of Applied Sciences Ingolstadt, Germany",True
homepages/150/5269-2,"University of Hanover, L3S Research Center, Hanover, Germany",True
homepages/150/4252,"University of Erlangen-Nuremberg, Germany",True
homepages/150/2815-1,"Department of Mechanical Engineering, University Siegen, Germany",True
homepages/m/MartinMuller1,"Universität des Saarlandes, Saarbrücken, Germany",True
homepages/m/HermanndeMeer,"University of Passau, Germany",True
homepages/m/RalfMoller2,"Universität Bielefeld, Germany",True
homepages/m/MirjamMinor,"Goethe University of Frankfurt, Germany",True
homepages/m/GuidoMoerkotte,"University of Mannheim, Germany",True
homepages/m/AlexanderMarkowetz,"University of Bonn, Germany",True
homepages/m/RalphMatthes,"Ludwig Maximilian University of Munich, Germany",True
homepages/m/SebastianManeth,"University of Bremen, Germany",True
homepages/m/RHMohring,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/m/RainerMaximini,"University of Trier, Department of Computer Science, Germany",True
homepages/m/WolfgangMaass2,"Saarland University, Saarbrücken, Germany",True
homepages/m/WolfgangMaass2,"Hochschule Furtwangen, Germany",True
homepages/m/MiroslawMalek,"Humboldt University of Berlin, Germany",True
homepages/m/KMeyerWegener,"University of Erlangen-Nuremberg, Germany",True
homepages/m/AMyka,"University of Tübingen, Germany",True
homepages/m/MMundhenk,"University of Jena, Germany",True
homepages/m/MMundhenk,"University of Trier, Germany",True
homepages/m/MMundhenk,"University of Ulm, Germany",True
homepages/m/BurkhardMonien,"University of Paderborn, Germany",True
homepages/m/MarcusAMagnor,"Braunschweig University of Technology, Germany",True
homepages/m/JorgMuller,"University of Bayreuth, Department of Computer Science, Germany",True
homepages/m/KlausMadlener,"Kaiserslautern University of Technology, Germany",True
homepages/m/AndreasMorgenstern,"Kaiserslautern University of Technology, Germany",True
homepages/m/BernhardMoller,"University of Augsburg, Germany",True
homepages/m/TillMossakowski,"Otto von Guericke University of Magdeburg, Germany",True
homepages/m/RalfMoller,"Universität zu Lübeck, Germany",True
homepages/m/HanspeterAMallot,"University of Tübingen, Germany",True
homepages/m/BMitschang,"University of Stuttgart, Germany",True
homepages/m/CMeinel,"University of Trier, Germany",True
homepages/m/MalgorzataMochol,"Free University of Berlin, Germany",True
homepages/m/HeikoMantel,"Darmstadt University of Technology, Germany",True
homepages/m/PetraMutzel,"Technical University of Dortmund, Germany",True
homepages/m/FlorianMueller-3,"TU Darmstadt, Germany",True
homepages/m/BabakMougouie,"University of Trier, Department of Computer Science, Germany",True
homepages/m/RainerMalaka,"University of Bremen, Germany",True
homepages/m/UlrichMeyer-1,"Goethe University of Frankfurt, Germany",True
homepages/m/KatharinaMorik,"Technical University of Dortmund, Germany",True
homepages/m/AlexanderMehler,"Goethe University, Frankfurt/Main, Germany",True
homepages/m/KerstinMaximini,"University of Trier, Germany",True
homepages/m/SebastianMichel,"University of Kaiserslautern, Germany",True
homepages/m/PatrickMader,"Technische Universität Ilmenau, Germany",True
homepages/m/DieterMetzing,"Bielefeld University, Germany",True
homepages/m/KMeissner,"Dresden University of Technology, Germany",True
homepages/m/WolfgangMay,"University of Göttingen, Institute for Informatics, Germany",True
homepages/m/ClaudioMoraga,"Technical University of Dortmund, Germany",True
homepages/m/MMasuch,"Otto von Guericke University of Magdeburg, Germany",True
homepages/m/HeikoMuller,"Humboldt University Berlin, Germany",True
homepages/m/FlorianMansmann,"University of Konstanz, Germany",True
homepages/m/ThomasMandl,"University of Hildesheim, Germany",True
homepages/m/KRMuller,"Technical University of Berlin, Germany",True
homepages/m/MichaelMerz,"University of Hamburg, Germany",True
homepages/m/PaulMuller2,"University of Heidelberg, Kirchhoff Institute for Physics, Germany",True
homepages/m/HeinrichMuller,"TU Dortmund, Department of Computer Science, Germany",True
homepages/m/HeinrichMuller,"University of Freiburg, Department of Computer Science, Germany",True
homepages/m/WaltDetmarMeurers,"University of Tübingen, Department of Linguistics, Germany",True
homepages/m/RManthey,"University of Bonn, Germany",True
homepages/m/HolgerMeuss,"Ludwig Maximilian University of Munich, Germany",True
homepages/m/ChristophMangold,"University of Stuttgart, Germany",True
homepages/m/RManner,"University of Mannheim, Germany",True
homepages/m/StephanMelzer,"Technical University Munich, Germany",True
homepages/m/MaxMuhlhauser,"TU Darmstadt, Germany",True
homepages/m/WolfgangMenzel,"University of Hamburg, Germany",True
homepages/m/SergeyMelnik,"University of Leipzig, Germany",True
homepages/09/5335,"TU Munich, Department of Informatics, Germany",True
homepages/09/4553,"TU Berlin, Institute of Software Engineering and Theoretical Computer Science, Berlin, Germany",True
homepages/09/4553,"Saarland University, Germany",True
homepages/09/6309,"University of Stuttgart, Germany",True
homepages/09/2973,"Leibniz Universität Hannover, Germany",True
homepages/09/5394-1,"Ludwig Maximilian University of Munich, Germany",True
homepages/09/6285,"University of Hamburg, Germany",True
homepages/09/6285,"University of Münster, Germany",True
homepages/09/5962,"Technical University Munich, Germany",True
homepages/09/4727,"University of Erlangen-Nuremberg, Germany",True
homepages/09/2344,"Dresden University of Technology, Germany",True
homepages/09/7407,"Saarland University, Saarbrücken, Germany",True
homepages/09/3551,"Technical University of Munich, Institute of Automatic Control Engineering, Germany",True
homepages/186/0172,"University of Konstanz, Department of Computer and Information Science, Germany",True
homepages/83/3572,"Technical University of Berlin, Germany",True
homepages/83/4116,"Hochschule Worms, Germany",True
homepages/83/8685,"University of Cologne, Germany",True
homepages/83/2865,"University of Duisburg-Essen, Germany",True
homepages/83/6929,"University of Hanover, Germany",True
homepages/83/4769,"Leipzig University, Germany",True
homepages/83/1301,"University of Erlangen-Nuremberg, Erlangen, Germany",True
homepages/83/6332,"RWTH Aachen University, Germany",True
homepages/87/439,"University of Stuttgart, Machine Learning and Robotics Lab, Germany",True
homepages/87/5861,"University of Rostock, Germany",True
homepages/87/2588,"Ostbayerische Technische Hochschule Amberg-Weiden, Germany",True
homepages/87/6573,"Bauhaus University, Weimar, Germany",True
homepages/87/1869,"TU Darmstadt, Department of Computer Science, Germany",True
homepages/87/2914-2,"Technical University Munich, Munich, Germany",True
homepages/87/2093,"Humboldt University of Berlin, Germany",True
homepages/87/1866,"RWTH Aachen University, Germany",True
homepages/87/8004,"Kaiserslautern University, Robotics Research Group, Germany",True
homepages/87/1254-12,"Saarland University, Saarbrücken, Germany",True
homepages/87/1831-1,"Technical University of Munich, Germany",True
homepages/87/8007,"Bundeswehr University Munich, Germany",True
homepages/87/8007,"Tu Munich, Germany",True
homepages/87/3313,"Hochschule Trier, Trier, Germany",True
homepages/87/2285,"Heidelberg University, Germany",True
homepages/87/8005-1,"Saarland University, Saarbrücken, Germany",True
homepages/144/5761,"Saarland University, Saarbrücken, Germany",True
homepages/10/4308,"RWTH Aachen University, Germany",True
homepages/10/1322,"University of Hannover, Germany",True
homepages/10/9231,"University of Stuttgart, Institute for Natural Language Processing, Germany",True
homepages/10/9231,"University of Munich, Center for Information and Language Processing, Germany",True
homepages/10/9770,"Bielefeld University, Germany",True
homepages/10/8253,"TU Darmstadt, Germany",True
homepages/10/10539,"Darmstadt University of Technology, Germany",True
homepages/10/1388-3,"Karlsruhe Institute of Technology, Institute of Theoretical Informatics, Germany",True
homepages/10/4661-36,"FernUniversität Hagen, Germany",True
homepages/10/2223,"University of Bonn, Institute of Computer Science, Germany",True
homepages/10/2740,"University of Hagen, Germany",True
homepages/10/2029,"University of Augsburg, Department of Computer Science, Germany",True
homepages/10/765-1,"Technical University of Munich, Germany",True
homepages/10/695-1,"Leibniz Universität Hannover, Germany",True
homepages/10/489,"Technical University Dortmund, Germany",True
homepages/10/9649,"University of Stuttgart, Germany",True
homepages/x/XiaoweiXu,"LMU München, Munich, Germany",True
homepages/23/5231-1,"University of Erlangen-Nuremberg, Germany",True
homepages/23/3168-1,"University of Kaiserslautern, Robotics Research Lab, Germany",True
homepages/23/6304-1,"Siemens Corporate Technology, Munich, Germany",True
homepages/23/2420,"Göttingen State and University Library, Germany",True
homepages/23/1185-2,"FU Berlin, Germany",True
homepages/23/636-1,"Saarland University, Saarbrücken, Germany",True
homepages/23/636-1,"University of Passau, Department of Informatics and Mathematics, Germany",True
homepages/23/2293-2,"University of Hamburg, Germany",True
homepages/23/1185-1,"University of Bonn, Germany",True
homepages/151/0980,"University of Bonn, Germany",True
homepages/151/9617,"Hannover Medical School, Germany",True
homepages/151/0247,"Universität Stuttgart, Germany",True
homepages/152/5189,"Darmstadt University of Technology, Germany",True
homepages/b/RalphBergmann,"University of Trier, Germany",True
homepages/b/EssameddinBadreddin,"University of Mannheim, Germany",True
homepages/b/ChristianBorgelt,"Otto von Guericke University of Magdeburg, Germany",True
homepages/b/VolkerBlanz,"University of Siegen, Institute for Vision and Graphics, Germany",True
homepages/b/VolkerBlanz,"University of Tübingen, Germany",True
homepages/b/ChristianBecker,"University of Mannheim, Germany",True
homepages/b/KlausBerberich,"htw saar, Germany",True
homepages/b/PBaumann,"Jacobs University, Bremen, Germany",True
homepages/b/FBrandt,"Technical University Munich, Germany",True
homepages/b/ChBohm,"Ludwig Maximilian University of Munich, Germany",True
homepages/b/MichaelBeetz,"University of Bremen, Germany",True
homepages/b/MichaelBeetz,"Technical University Munich, Germany",True
homepages/b/MichaelBeetz,"University of Bonn, Germany",True
homepages/b/MMBreunig,"Fachhochschule Rosenheim, Germany",True
homepages/b/MMBreunig,"Technical University Munich, Germany",True
homepages/b/SaartjeBrockmans,"Karlsruhe Institute of Technology, Germany",True
homepages/b/KHBlasius,"Trier University of Applied Sciences, Germany",True
homepages/b/OliverBimber,"Bauhaus University, Weimar, Germany",True
homepages/b/WolfgangBenn,"Chemnitz University of Technology, Germany",True
homepages/b/GerhardBrewka,"Leipzig University, Germany",True
homepages/b/ChristianBeder,"University of Kiel, Germany",True
homepages/b/BerndBecker,"University of Freiburg, Germany",True
homepages/b/ThomasBerlage,"RWTH Aachen University, Germany",True
homepages/b/HansJoachimBungartz,"Technical University Munich, Germany",True
homepages/b/ManuelBodirsky,"TU Dresden, Institut für Algebra, Germany",True
homepages/b/BerndBrugge,"Technical University Munich, Germany",True
homepages/b/KBerns,"TU Kaiserslautern, Germany",True
homepages/b/RBerghammer,"University of Kiel, Germany",True
homepages/b/UlrikBrandes,"University of Konstanz, Germany",True
homepages/b/ClemensBeckstein,"University of Jena, Germany",True
homepages/b/FBaader,"Dresden University of Technology, Germany",True
homepages/b/DominikBenz,"University of Kassel, Germany",True
homepages/b/ChristophBeierle,"University of Hagen, Germany",True
homepages/b/KBohm,"Karlsruhe Institute of Technology, IPD, Germany",True
homepages/b/AndreasBirk0002,"Jacobs University, Bremen, Germany",True
homepages/b/ChristelBaier,"Dresden University of Technology, Germany",True
homepages/b/CBlum,"University of Kaiserslautern, Germany",True
homepages/b/WBibel,"Darmstadt University of Technology, Germany",True
homepages/b/MladenBerekovic,"Braunschweig University of Technology, Germany",True
homepages/b/JBiskup,"Technical University of Dortmund, Germany",True
homepages/b/IstvanSBatori,"University of Koblenz and Landau, Germany",True
homepages/b/StefanBrecheisen,"Ludwig Maximilian University of Munich, Germany",True
homepages/b/JBurghardt,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/b/PeterBaumgartner,"University of Koblenz-Landau, Koblenz, Germany",True
homepages/b/MartinBichler,"Technical University Munich, Germany",True
homepages/b/FrancoisBry,"Ludwig Maximilian University of Munich, Germany",True
homepages/b/WolframBurgard,"University of Freiburg, Germany",True
homepages/b/ABockmayr,"Free University of Berlin, Germany",True
homepages/b/PeterBollmannSdorra,"Technical University of Berlin, Department of Mathematics, Germany",True
homepages/b/DariusBurschka,"Technical University Munich, Germany",True
homepages/b/StefanBrass,"Martin Luther University of Halle-Wittenberg, Germany",True
homepages/b/ManuelBlum-2,"University of Freiburg, Machine Learning Lab, Freiburg im Breisgau, Germany",True
homepages/b/HDBurkhard,"Humboldt University of Berlin, Germany",True
homepages/b/ZBenenson,"University of Erlangen-Nuremberg, Germany",True
homepages/b/AndreasButz,"Ludwig Maximilian University of Munich, Germany",True
homepages/b/UlrichBerger-2,"Brandenburg University of Technology, Cottbus-Senftenberg, Germany",True
