key,affiliation,uni?
homepages/20/5998-6,"TU Munich, Department of Computer Science, Germany",True
homepages/20/5998-6,"Humboldt University of Berlin, Department of Mathematics, Germany",True
homepages/20/3894-5,"TU München, Germany",True
homepages/20/6534-7,"Ruhr-University Bochum, Germany",True
homepages/20/7793,"University of Freiburg, Germany",True
homepages/20/1688-2,"University of Kassel, Germany",True
homepages/20/6010-2,"TU Dortmund, Department of Computer Science, Germany",True
homepages/20/11262-1,"University of Würzburg, Germany",True
homepages/245/5056,"University of Trier, Germany",True
homepages/134/6588,"Christian Albrechts University of Kiel, Department of Computer Science, Germany",True
homepages/134/3090,"Saarland University, Faculty of Mathematics and Computer Science, Saarbrücken, Germany",True
homepages/134/6302,"Technical University of Munich, Germany",True
homepages/88/6542,"University of Paderborn, Department of Electrical Engineering and Information Technology, Germany",True
homepages/88/812,"University of Stuttgart, Institute for Natural Language Processing, Germany",True
homepages/88/1645,"Bielefeld University, CITEC, Germany",True
homepages/88/5775,"University of Freiburg, Germany",True
homepages/88/66,"University of Duisburg-Essen, Germany",True
homepages/88/66,"University of Würzburg, Germany",True
homepages/88/7021,"Saarland University, Saarbrücken, Germany",True
homepages/88/4454,"University of Potsdam, Germany",True
homepages/88/4000-2,"RWTH Aachen University, Management Science, Germany",True
homepages/88/5808-1,"University of Bonn, Institute of Computer Science, Germany",True
homepages/88/5808-1,"Leibniz University of Hannover, Institute of Distributed Systems, Germany",True
homepages/88/8156,"Stuttgart University, Germany",True
homepages/88/3717,"Saarland University, Saarbrücken, Germany",True
homepages/88/2727,"Dresden University of Technology, Germany",True
homepages/88/589,"University of Würzburg, Department of Psychology, Germany",True
homepages/47/2811,"Leipzig University, Institute for Applied Informatics (InfAI), Germany",True
homepages/47/2805-1,"Clausthal University of Technology, Clausthal-Zellerfeld, Germany",True
homepages/47/7247,"University of Münster, Department of Computer Science, Germany",True
homepages/47/1735,"RWTH Aachen University, Germany",True
homepages/47/6904,"University of Hamburg, Germany",True
homepages/47/622,"TU Berlin, Department of Computer Engineering and Microelectronics, Germany",True
homepages/47/5055,"Universität Stuttgart, Germany",True
homepages/47/5048,"University of Passau, Faculty of Computer Science and Mathematics, Germany",True
homepages/47/5013,"University of Stuttgart, Germany",True
homepages/47/2482,"Dortmund University of Technology, Germany",True
homepages/47/341,"Martin Luther University of Halle-Wittenberg, Germany",True
homepages/47/2033,"Darmstadt University of Technology, Germany",True
homepages/f/SergejFatikow,"University of Oldenburg, Germany",True
homepages/f/StefanFischer0008,"Saarland University, MMCI, Saarbrücken, Germany",True
homepages/f/AlexanderFoerster,"University of Paderborn, Germany",True
homepages/f/SimonFischer,"RWTH Aachen University, Germany",True
homepages/f/ODFriedrichs,"University of Tübingen, Germany",True
homepages/f/HenningFernau,"University of Trier, Germany",True
homepages/f/ChristofFetzer,"Dresden University of Technology, Germany",True
homepages/f/ChristianFreksa,"University of Bremen, Bremen Spatial Cognition Center (BSCC), Germany",True
homepages/f/BerndFreisleben,"University of Marburg, Germany",True
homepages/f/BerndFrohlich,"Bauhaus-Universität Weimar, Virtual Reality and Visualization Research Group, Germany",True
homepages/f/BerndFrohlich,"Bauhaus-Universität Weimar, Germany",True
homepages/f/TWFruhwirth,"University of Ulm, Germany",True
homepages/f/BurkhardFreitag,"University of Passau, Germany",True
homepages/f/StefanFunke,"University of Stuttgart, Germany",True
homepages/f/StefanFischer0003,"University of Augsburg, Germany",True
homepages/f/JCFreytag,"Humboldt University of Berlin, Germany",True
homepages/f/UlrichFurbach,"University of Koblenz and Landau, Germany",True
homepages/f/GeorgFullen,"University of Rostock, Germany",True
homepages/f/NFuhr,"University of Duisburg-Essen, Germany",True
homepages/f/PeterMFischer1,"University of Augsburg, Department of Computer Science, Germany",True
homepages/f/PeterMFischer1,"University of Freiburg, Department of Computer Science, Germany",True
homepages/f/PeterMFischer1,"University of Heidelberg, Germany",True
homepages/64/6025-6,"Saarland University, Department of Electrical and Computer Engineering, Saarbrücken, Germany",True
homepages/64/4020,"TU Braunschweig, Institute of System Security, Germany",True
homepages/64/4020,"University of Göttingen, Institute of Computer Science, Germany",True
homepages/64/9579,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/64/8484,"University of Bonn, Institute of Computer Science, Germany",True
homepages/64/319,"University of Tübingen, Department of Linguistics, Germany",True
homepages/64/6906,"Ruhr University Bochum, Germany",True
homepages/64/6861,"University of Bonn, Institute of Computer Science, Germany",True
homepages/64/1706-3,"TU Darmstadt, Germany",True
homepages/64/1559,"University of Siegen, Germany",True
homepages/64/5708,"University of Bremen, Germany",True
homepages/64/10010,"Humboldt University of Berlin, Germany",True
homepages/64/1579,"Otto von Guericke University Magdeburg, Germany",True
homepages/64/2589,"University of Potsdam, Institute of Computer Science, Germany",True
homepages/64/5666-34,"Karlsruhe Institute of Technology (KIT), Institute AIFB, Germany",True
homepages/64/7497,"Technical University of Berlin, Germany",True
homepages/146/6018-2,"TU Darmstadt, Germany",True
homepages/146/9680,"University of Stuttgart, FMI, Germany",True
homepages/146/4006,"University of Duisburg-Essen, Language Technology Lab, Duisburg, Germany",True
homepages/40/3594,"University of Ulm, Germany",True
homepages/40/6463,"Brandenburg University of Technology, Cottbus, Germany",True
homepages/40/4324,"Reutlingen University, Germany",True
homepages/40/3446,"L3S Research Center, Hannover, Germany",True
homepages/40/3934-13,"Nuance Communications, Aachen, Germany",True
homepages/40/3793,"TU Darmstadt, Germany",True
homepages/40/3793,"TU Dortmund, Germany",True
homepages/40/2664,"Ludwig Maximilian University of Munich, Germany",True
homepages/40/998,"RWTH Aachen University, Germany",True
homepages/13/9959,"Saarland University, Chair of Economic Theory, Saarbrücken, Germany",True
homepages/13/9816,"Technische Universität Berlin, Germany",True
homepages/13/6875-1,"University of Heidelberg, Heidelberg Collaboratory for Image Processing, Germany",True
homepages/13/3479-9,"Technical University of Munich, Department of Mathematics, Garching, Germany",True
homepages/13/3479-9,"Technical University of Berlin, Germany",True
homepages/13/7044,"RWTH Aachen University, Germany",True
homepages/13/3984-1,"LMU Munich, Germany",True
homepages/13/2267,"Johannes Gutenberg-Universität Mainz, Germany",True
homepages/13/6111,"Friedrich Schiller University of Jena, Germany",True
homepages/r/RaulRojas,"Free University of Berlin, Germany",True
homepages/r/ThomasRuf,"University of Erlangen-Nuremberg, Germany",True
homepages/r/ManfredReichert,"University of Ulm, Germany",True
homepages/r/NRitter,"University of Hamburg, Germany",True
homepages/r/PeterRossmanith,"RWTH Aachen University, Germany",True
homepages/r/DanielRaible,"University of Trier, Department of Computer Science, Germany",True
homepages/r/WRosenstiel,"University of Tübingen, Germany",True
homepages/r/JorgRothe,"University of Düsseldorf, Germany",True
homepages/r/LucDeRaedt,"University of Freiburg, Germany",True
homepages/r/URembold,"Universität Karlsruhe, Germany",True
homepages/r/FdFRezende,"Kaiserslautern University of Technology, Germany",True
homepages/r/GunterRudolph,"Technical University of Dortmund, Germany",True
homepages/r/WolfgangReif,"University of Augsburg, Germany",True
homepages/r/KurtRothermel,"University of Stuttgart, Germany",True
homepages/r/BerndRadig,"Technical University Munich, Germany",True
homepages/r/BernhardRumpe,"RWTH Aachen University, Department of Computer Science, Germany",True
homepages/r/MartinReuter,"University of Hanover, Hannover, Germany",True
homepages/r/MatthiasRenz,"University of Kiel, Germany",True
homepages/r/MatthiasRenz,"LMU Munich, Germany",True
homepages/r/ThomasRisse,"Goethe University Frankfurt, Frankfurt, Germany",True
homepages/r/ThomasRisse,"L3S Research Center, Hanover, Germany",True
homepages/r/UlrichReimer,"University of Konstanz, Germany",True
homepages/r/GRickheit,"Bielefeld University, Germany",True
homepages/r/ERahm,"Leipzig University, Germany",True
homepages/r/BurghardBRieger,"University of Trier, Germany",True
homepages/00/5069,"Karlsruhe Institute of Technology, Germany",True
homepages/00/6376,"University of Potsdam, Department of Bioinformatics, Germany",True
homepages/00/1685,"Heidelberg University, Germany",True
homepages/00/11425,"Technische Universität Dresden, Germany",True
homepages/00/6957,"RWTH Aachen University, Germany",True
homepages/00/6336,"Martin Luther University of Halle-Wittenberg, Germany",True
homepages/00/1047,"University of Mannheim, University Library, Germany",True
homepages/00/1846,"Saarland University, Saarbrücken, Germany",True
homepages/00/6307,"Karlsruhe Institute of Technology, TECO research group, Germany",True
homepages/00/680-1,"Ilmenau Technical University, Germany",True
homepages/00/7166,"University of Stuttgart, VIS, Germany",True
homepages/00/3325,"University of Bremen, Germany",True
homepages/00/2717,"University of Paderborn, Germany",True
homepages/00/717,"Hamburg University of Technology, Germany",True
homepages/00/3174,"Johann Wolfgang Goethe University, Frankfurt Institute for Advanced Studies (FIAS), Germany",True
homepages/00/6032,"Anhalt University of Applied Sciences, Department of Computer Science and Languages, Köthen, Germany",True
homepages/00/6032,"University of Leipzig, Department of Computer Science, Germany",True
homepages/00/336,"Heidelberg University, Germany",True
homepages/00/3150-1,"University of Rostock, Department of Computer Science, Germany",True
homepages/00/3150-1,"TU Dresden, International Center for Computational Logic, Germany",True
homepages/17/9855,"Karlsruhe Institute of Technology, Germany",True
homepages/17/6729-9,"University of Oldenburg, Department of Medical Physics and Acosutics, Germany",True
homepages/17/5476,"University of Paderborn, Heinz Nixdorf Institute, Germany",True
homepages/17/2025,"Universität Paderborn, Germany",True
homepages/15/532,"University of Würzburg, Germany",True
homepages/15/1807,"Karlsruhe Institute of Technology, IFA, Germany",True
homepages/15/7922,"University of Göttingen, Institute of Computer Science, Germany",True
homepages/15/7922,"Karlsruhe Institute of Technology (KIT), ISAS Lab, Germany",True
homepages/15/2881,"Albert Ludwigs University of Freiburg, Department of Computer Science, Germany",True
homepages/15/8383,"Technische Universität Darmstadt, Germany",True
homepages/15/8153,"University of Hildesheim, Germany",True
homepages/15/503-1,"Humboldt University of Berlin, Department of Computer Science, Germany",True
homepages/15/503-1,"Heinrich Heine University Düsseldorf, Computer Science Department, Germany",True
homepages/15/6040-2,"Siemens AG, Corporate Technology, Munich, Germany",True
homepages/15/6040-2,"Ludwig Maximilian University, Munich, Germany",True
homepages/15/6664,"University of Freiburg, Germany",True
homepages/15/809,"Heidelberg University, HCI/IWR, Germany",True
homepages/15/6559,"RWTH Aachen University, Germany",True
homepages/15/6170,"Brandenburg University of Technology, Cottbus, Germany",True
homepages/15/3305,"Ludwig Maximilian University of Munich, Germany",True
homepages/15/503-2,"Leibniz University of Hanover, TNT, Germany",True
homepages/55/2363-4,"University of Bochum, Germany",True
homepages/55/3065,"Humboldt-Universität zu Berlin, Germany",True
homepages/55/3065,"University of Cologne, Department of Computer Science, Germany",True
homepages/55/3065,"Karlsruhe Institute of Technology, Institute of Theoretical Informatics, Germany",True
homepages/55/3065,"University of Paderborn, Department of Computer Science, Germany",True
homepages/55/8883,"Karlsruhe Institute of Technology, Germany",True
homepages/55/6899,"Karlsruhe Institute of Technology, IPD, Germany",True
homepages/55/6899,"RWTH Aachen University, Germany",True
homepages/55/782,"University of Hagen, Germany",True
homepages/55/2363-2,"University of Hamburg, Department of Informatics, Germany",True
homepages/55/6363,"University of Trier, Germany",True
homepages/55/6363,"Karlsruhe Institute of Technology, Germany",True
homepages/55/6754,"TU Munich, Computer Aided Medical Procedures, Germany",True
homepages/55/4085,"TU München, Germany",True
homepages/55/6577,"University of Kiel, Department of Computer Science, Germany",True
homepages/55/6464-1,"University of Bonn, Germany",True
homepages/55/1463,"Karlsruhe Institute of Technology, IAR-IPR, Germany",True
homepages/58/1988,"Universität Kassel, Germany",True
homepages/58/2631,"University of Augsburg, Germany",True
homepages/58/6050,"University of Leipzig, Department of Computer Science, Germany",True
homepages/58/3801,"University of Hanover, Germany",True
homepages/58/4616,"Saarland University, Saarbrücken, Germany",True
homepages/58/1769-1,"University of Hagen, Germany",True
homepages/58/1769-1,"University of Munich, Germany",True
homepages/58/1876,"Leipzig University, Germany",True
homepages/69/3614,"Universität Osnabrück, Osnabrück, Germany",True
homepages/69/2397,"University of Erlangen-Nuremberg, Germany",True
homepages/69/1370,"Chemnitz University of Technology, Faculty of Computer Science, Germany",True
homepages/69/5675,"University of Erlangen-Nuremberg, Germany",True
homepages/69/4806-1,"Bauhaus University, Weimar, Germany",True
homepages/69/2809,"TU Dresden, Germany",True
homepages/69/2809,"Darmstadt University of Technology, Germany",True
homepages/69/2541,"Technical University of Berlin, Germany",True
homepages/69/5050-5,"Ruhr University Bochum, Germany",True
homepages/69/8110,"University of Bremen, Institute of Computer Science, Germany",True
homepages/05/3149,"TU Munich, Department of Informatics, Germany",True
homepages/05/788,"University of Karlsruhe, Institute for Process Control and Robotics, Germany",True
homepages/05/996-1,"Chemnitz University of Technology, Faculty of Computer Science, Germany",True
homepages/05/996-1,"Humboldt University of Berlin, Unter den Linden, Germany",True
homepages/05/4192,"University of Tübingen, Institute for Computer Science, Germany",True
homepages/05/11025-1,"TU Berlin, Institute of Software Engineering and Theoretical Computer Science, Germany",True
homepages/05/11399,"University of Rostock, Electrical Engineering, Germany",True
homepages/05/11266,"Karlsruhe Institute of Technology, Germany",True
homepages/05/11266,"University of Passau, Germany",True
homepages/05/3244,"University of Marburg, Germany",True
homepages/05/11166,"University of Applied Sciences Fulda, Germany",True
